ALLY, to join by marriagefriendship
ALMA, (Arabic) an Egyptian girl who sings and dances professionallyalso ALMAH
ALME, (Arabic) an Egyptian girl who sings and dances professionallyalso ALMA
ALMS, money or goods given to the poor [n ALMS]
ALOD, an estate held in absolute ownershipwithout acknowledgement to a superior
ALOE, any member of the genus Aloeconsisting mostly of trees and shrubs of the lily family [n -S]
ALOO, (Hindi) a potatoalso ALU [n -S]
ALOW, in or to a lower part of a vesselas opposed to aloft [adv]
ALPS, ALPa high mountain [n]
ALSO, in addition [adv]
ALTO, (Italian) a low female singing voice [n -S]
ALTS, ALTa high musical note [n]
ALUM, a sulphate of ammonium and potassiumused as a mordant [n -S]
ALUS, ALU(Hindi) a potato
AMAH, (Portuguese) a native maidservant or child's nurseesp. a wet nurse
AMAS, AMA(Hindi) a native maidservant or child's nurse
AMBO, a pulpit in an early Christian church [n AMBOS or AMBONES]
AMEN, to conclude prayerfully [v -ED-ING
AMES, AME(French) a soul [n]
AMIA, a freshwater fishaka bowfin [n -S]
AMID, a compound formed by the union of amidogen with an acid element or radicalalso AMIDE [n -S]
AMIE, (French) a (female) friend [n -S]
AMIN, a compound derived from ammoniaalso AMINE [n -S]
AMIR, (Arabic) an Eastern ruleralso AMEER
AMIS, (Spenser) a clerical garb worn on the shouldersalso AMICE [n -ES]
AMLA, an East Indian tree [n -S]
AMMO, (short for) ammunition [n -S]
AMOK, (Malay) a murderous frenzyalso AMUCK [n -S]
AMPS, AMP(Australian slang) to excite [v]
AMUS, AMUa unit of mass [n]
AMYL, an alcohol radicalalso PENTYL [n -S]
ANAL, pertaining to the anus [adj]
ANAN, (to a person calling for attention) in a moment! comingalso ANON [interj]
ANAS, ANAa collection of someone's table-talk [n]
ANCE, (dialect) oncealso YINCE [adv]
ANDS, ANDthe symbol ampersand; something added [n]
ANES, ANE(Scots) one
ANEW, afreshagain [adv]
ANGA, (Sanskrit) any of the eight practises of yoga [n -S]
ANIL, (Arabic) indigothe plant or dye [n -S]
ANIS, ANIa tropical American bird [n]
ANKH, (Arabic) an Egyptian symbol of liferesembling a looped cross
ANNA, (Hindi) a former coin of India [n -S]
ANNO, (Latin) in the year [prep]
ANNS, ANN(Scots) the half-year's stipend payable to a minister's wife on his death
ANOA, a wild ox of the Celebes [n -S]
ANON, at once; immediatelyalso ANAN [adj]
ANOW, (Milton) enough [adj]
ANSA, (Latin) the projecting part of Saturn's rings [n ANSAE]
ANTA, (Latin) a square pilaster on each side of a doorway [n ANTAE] / a kind of tapir [ANTAS]
ANTE, to put a fixed stake in the pot at poker [v ANTEED or ANTEDANTEING
ANTI, one who is opposed to anything [n -S]
ANTS, ANTa small industrious insect [n]
ANUS, (Latin) the opening at the end of the alimentary canal [n -ES]
APAY, to satisfyalso APPAY [v APAYD or APAID
APED, APEto mimic [v]
APER, one who mimics [n -S]
APES, APEto mimic [v]
APEX, (Latin) the topmost point [n APEXES or APICES]
APOD, an animal without feet or finsalso APODE [n -S]
APOS, APO(short for) apolipoprotein
APPS, APP(short for) application program [n]
APSE, a rounded extension at the end of a buildingesp. at the east end of a church [n -S]
APSO, (Tibetan) a Tibetan terrier [n -S]
APTS, APTto adapt [v]
AQUA, (Latin) water [n AQUAS or AQUAE]
ARAK, (Arabic) a strong alcoholic drink made from toddyor the fermented juice of the coco and other palms
ARAR, the sandarac tree [n -S]
ARBA, (Arabic) a heavy screened wagon used by Tatars and othersalso ARABA
ARBS, ARB(short for) an arbitrageur
ARCH, slymischievous [adj ARCHER
ARCO, (Italian) the bow of a stringed instrument [n ARCOS or ARCHI]
ARCS, ARCto make an electric discharge [v]
ARDS, ARDa kind of primitive plough [n]
AREA, (Latin) a region [n AREAS] / part of the cerebral cortex [n AREAE]
ARED, AREAD(Spenser) to counsel
AREG, ERGa unit of work [n]
ARES, AREa unit of metric land measure [n]
ARET, (Spenser) to entrustalso ARETT [v ARETTED
AREW, (Spenser) in a rowalso AROW [adv]
ARFS, ARFa barking sound [n]
ARGH, an interjection expressing pain or dismayalso AARGH
ARIA, (Italian) an accompanied vocal solo [n -S]
ARID, very dry [adj ARIDERARIDEST
ARIL, an additional envelopeoften fleshy
ARIS, (Cockney slang) arse [n -ES]
ARKS, ARKto put into an ark (a coffer) [v]
ARLE, to give earnest-money [v ARLEDARLING
ARMS, ARMto supply with weapons [v]
ARMY, a large body of people armed for war [n ARMIES]
ARNA, (Hindi) an Indian water-buffalo [n -S]
AROW, (obsolete) in a rowalso AREW [adv]
ARPA, a top level internet domain [n -S]
ARSE," as in """"to arse about""""to muck around [v ARSED"
ARSY, (Australian slang) aggressiveirritable
ARTI, (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deitiesalso AARTI [n -S]
ARTS, ARTworks of creative imagination [n]
ARTY, artistic in a flashy wayalso ARTSY [adj ARTIER
ARUM, a perennial plant of the cuckoo pint or wake-robin genus [n -S]
ARVO, (Australian slang) afternoon [n -S]
ARYL, any aromatic univalent hydrocarbon radical [n -S]
ASAR, ASa Norse god living in Asgard [n]
ASCI, ASCUS(Greek) an enlarged cell which has formed eight spores [n]
ASEA, at sea [adv]
ASHY, covered with ashes [adj ASHIERASHIEST]
ASKS, ASKto inquire or request [v]
ASPS, ASPa venomous snake
ATAP, (Malay) the nipa palm [n -S]
ATES, ATEreckless ambition that drives one to ruin [n]
ATMA, (Sanskrit) the essential selfalso ATMAN [n -S]
ATOC, a species of skunkalso ATOK [n -S]
ATOK, a species of skunkalso ATOC [n -S]
ATOM, the smallest particle in an element which can take part in a chemical reaction [n -S]
ATOP, on top of [adj]
ATUA, (Polynesian) the spirit of an ancestor [n -S]
AUAS, AUA(Maori) the yellow-eye mullet [n]
AUFS, AUF(obsolete) an elf's child [n]
AUGH, an interjection expressing despair or frustration [interj]
AUKS, AUKa type of seabird [n]
AULA, (Latin) a hall [n -S]
AULD, (Scots) old [adj AULDERAULDEST]
AUNE, (obsolete) an ell; a French measure of cloth [n -S]
AUNT, the sister of a mother or father [n -S]
AURA, (Latin) a subtle emanation [n AURAS or AURAE]
AUTO, to ride in an automobile [v -ED-ING
AVAL, pertaining to a grandparent [adj]
AVAS, AVAan aromatic plant of the pepper family; a narcotic drink prepared from its root and stem
AVEL, (Hebrew) a mourner of nearest blood relationsalso OVEL [n -S]
AVER, to declare positively [v AVERREDAVERRING
AVES, AVEhail [n]
AVID, eager [adj AVIDERAVIDEST
AVOS, AVOa monetary unit of Macao [n]
AVOW, to declare [v -ED-ING
AWAY, at or to a distancealso AWA
AWDL, (Welsh) a Welsh ode [n -S]
AWED, AWEto strike with fear [v]
AWEE, awhile [adv]
AWES, AWEto strike with fear [v]
AWFY, (Scots) awfullyextremely [adv]
AWKS, AWKa computer-programming language used for data processing [n]
AWLS, AWLa pointed tool for making holes [n]
AWNS, AWNa beard on grass [n]
AWNY, bristly like an awn [adj AWNIERAWNIEST]
AWOL, one who is absent without leave [n -S]
AWRY, askew [adv]
AXAL, pertaining to an axisalso AXIAL [adj]
AXED, AX(US) to chop with a cutting tool
AXEL, in figure-skatinga jump from one skate to the other [n -S]
AXES, AX(US) to chop with a cutting tool
AXIL, the upper angle between leaf and stem [n -S]
AXIS, (Latin) the imaginary straight line about which a body rotates [n AXISES or AXES] / a white-spotted Asian deer [n AXISES]
AXLE, a shaft upon which a wheel revolves [n -S]
AXON, (Greek) a nerve fibrealso AXONE [n -S]
AYAH, (Hindi) in Indiaa maid or nurse
AYES, AYEan affirmative vote
AYIN, (Hebrew) the sixteenth letter of the Hebrew alphabet [n -S]
AYRE, (obsolete) an airesp. in the sense of a tune
AYUS, AYU(Japanese) a small edible Japanese fish [n]
AZAN, (Arabic) the Muslim call to prayeralso ADHAN [n -S]
AZON, a radio-controlled aerial bomb [n -S]
AZYM, unleavened breadalso AZYME [n -S]
BAAL, (Hebrew) a false god [n BAALS or BAALIM]
BAAS, (South African) a boss [n -ES]
BABA, (Polish) a kind of coffee-cakecontaining almonds
BABE, a baby; an attractive young woman [n -S]
BABU, (Hindi) a native clerk who writes English; alsoa Hindu title answering to Mr. or Esquire
BABY, like a baby [adj BABIERBABIEST] / to treat like a baby [v BABIED
BACH, a Welsh term of address [n -S] / to live as a bachelor [v -ED-ING
BACK, to help or support [v -ED-ING
BACS, BAC(short for) baccalaureate
BADE, BIDto make an offer [v]
BADS, BADsomething evil [n]
BAEL, (Hindi) a thorny Indian tree [n -S]
BAES, BAE(US) a person's sweetheart or lover: often used as an affectionate term of address [n]
BAFF, in golfto strike the ground with the sole of the club and so send the ball up in the air [v -ED
BAFT, (Urdu) a kind of coarse fabric [n -S]
BAGH, (Hindi) a garden [n -S]
BAGS, BAGto put in a pouch or sack [v]
BAHT, (Thai) the monetary unit of Thailandalso BHAT [n -S]
BAHU, (Hindi) a daughter-in-lawespecially one who lives with her husband's family when married [n -S]
BAIL, to set free by putting up security [v -ED-ING
BAIT, to set a trap etc. with food [v -ED-ING
BAJU, (Malay) a short loose jacket worn in Malaysia and Indonesia [n -S]
BAKE, to cook in an oven [v BAKEDBAKEN or BAKED
BALD, without hair [adj BALDERBALDEST
BALE, to form into tightly compressed bundles [v BALEDBALING
BALK, to refrain from proceedingalso BAUK
BALL, to form into a sphere [v -ED-ING
BALM, to embalm [v -ED-ING
BALS, BAL(short for) a balmoral
BALU, (Hindi) a bearalso BALOO [n -S]
BAMS, BAMto hoax or cheat [v]
BANC, (French) the judges' bench [n -S]
BAND, to decorate with strips of material [v -ED-ING
BANE, an evila poison [n -S] / to kill with poison [v BANED
BANG, to make a loudexplosive noise [v -ED
BANI, BANa monetary unit of Romania [n]
BANK, an institution for the keeping of money [n -S] / to deposit money for safe keeping in an institution [v -ED-ING
BANS, BANto forbid or prohibit [v]
BANT, to diet [v -ED-ING
BAOS, BAO(Chinese) a steamed dumpling
BAPS, BAPa large flat breakfast roll [n]
BAPU, (Hindi) a spiritual father [n -S]
BARB, to pierce with a sharp point [v -ED-ING
BARD, to cover a horse with armouralso BARDE [v -ED
BARE, unclotheduncovered [adj BARER
BARF, (colloquial) to vomit [v -ED-ING
BARK, to make a sound like a dog [v -ED-ING
BARM, the froth of malt liquors [n -S]
BARN, a building for storing haystraw etc. [n -S] / to store in a large storage building [v -ED
BARP, (Scots) a mound or cairn [n -S]
BARS, BARto obstruct or prevent [v]
BASE, mean [adj BASERBASEST
BASH, to strike [v BASHEDBASHING
BASK, to relax in pleasant warmth [v -ED-ING
BASS, of a voicelow in pitch [adj BASSER
BAST, the inner barkesp. of lime [n -S]
BATE, to diminishalso BAYT [v BATED
BATH, water for immersing the body [n -S] / to take a bath [v -ED-ING
BATS, BATto hit a ball with a bat (cricket
BATT, a sheet of battingcotton-wool prepared in sheets for quilting [n -S]
