BEN,  (Gaelic) a mountain [n -S]
BES,  (Hebrew) the second letter of the Hebrew alphabet also BETH [n -ES]
BET,  to wager [v BETTEDBETTING
BEY,  a Turkish governor [n -S]
BEZ,  the second tine of a deer's horn [n -ES]
BIB,  to tipple [v BIBBEDBIBBING
BID,  to make an offer [v BID or BADE or BIDDENBIDDING
BIG,  to build [v BIGGEDBIGGING
BIN,  to store in a large receptacle [v BINNEDBINNING
BIO,  (short for) a biography [n -S]
BIS,  BI(short for) a bisexual [n]
BIT,  to curb or restrain [v BITTEDBITTING
BIZ,  (slang) business [n BIZES or BIZZES]
BOA,  a large constricting snake [n -S]
BOB,  to move quickly up and down [v BOBBEDBOBBING
BOD,  (colloquial) a person [n -S]
BOG,  to sink into a bog [v BOGGEDBOGGING
BOH,  an exclamation used to startle [n -S]
BOI,  (slang) a lesbian who adopts a boyish appearance or manners [n -S]
BOK,  (South African) a goat or antelope [n -S]
BON,  (French) good [adj]
BOO,  to show disapproval by making this sound also BOOH [v -ED
BOP,  to dance to pop music [v BOPPEDBOPPING
BOR,  an East Anglian form of address meaning neighbour [n -S]
BOS,  BO a pal
BOT,  to cadge [v BOTTEDBOTTING
BOW,  to bend or incline downwards [v -ED-ING
BOX,  to put in a container [v -ED-ING
BOY,  to act a female role as a boy [v -ED-ING
BRA,  (short for) brassiere [n -S]
BRO,  buddy pal
BRR,  used to indicate that one is coldalso BRRR [interj]
BRU,  (South African) buddy pal
BUB,  a young fellow [n -S]
BUD,  to produce unopened flowers [v BUDDEDBUDDING
BUG,  to annoy [v BUGGEDBUGGING
BUM,  to live idly [v BUMMEDBUMMING
BUN,  a small sweet cake [n -S]
BUR,  to remove a rough edge fromalso BURR [v BURRED
BUS,  a road vehicle for transporting a considerable number of passengers [n -ES] / to travel or transport by bus [v BUSED or BUSSEDBUSING or BUSSING
BUT,  to put forward as an objection [v BUTTEDBUTTING
BUY,  to purchase [v BOUGHTBOUGHTEN
BYE,  a pass to the next round (of a competitionetc.)
BYS,  BYa pass to the next round (of a competition
CAA,  (Scots) to call [v -ED-ING
CAB,  to travel by taxicab [v CABBEDCABBING
CAD,  an ungentlemanly man [n -S]
CAF,  (short for) a cafeteria or cafe [n -S]
CAG,  (short for) cagoule a light anorak [n -S]
CAL,  (short for) calorie as in low cal [n -S]
CAM,  to whiten with camstone also CAUM [v CAMMED
CAN,  to put in a cylindrical container [v CANNEDCANNING
CAP,  to provide with a type of head covering [v CAPPEDCAPPING
CAR,  a self-propelled wheeled vehicle [n -S]
CAT,  to vomit [v CATTEDCATTING
CAW,  to cry like a crow also KAW [v -ED
CAY,  a small low island of corals and etc. [n -S]
CAZ,  (slang) casual also CAZH [adj]
CEE,  the letter C [n -S]
CEL,  (short for) celluloid a celluloid frame of an animated cartoon [n -S]
CEP,  a large mushroom also CEPE [n -S]
CHA,  (colloquial) tea [n -S]
CHE,  (dialect) I also CH [pron]
CHI,  the twenty-second letter of the Greek alphabet also KHI [n -S]
CID,  a chief captain or hero [n -S]
CIG,  (short for) cigarette also CIGGIE
CIS,  having atoms on the same side of the molecule [adj]
CIT,  (archaic) a contemptuous term for one who is not a gentleman [n -S]
CLY,  to seize or steal [v CLIEDCLYING
COB,  to strike [v COBBEDCOBBING
COD,  to hoax or make fun of [v CODDEDCODDING
COG,  to cheat at dice [v COGGEDCOGGING
COL,  a pass in a mountain range [n -S]
CON,  to study carefully [v COND or YCOND or CONNEDCONNING
COO,  to make the sound of a dove [v -ED-ING
COP,  to capture [v COPPEDCOPPING
COR,  a Hebrew measure [n -S]
COS,  a crisp long-leaved lettuce [n -ES]
COT,  to become tangled [v COTTEDCOTTING
COW,  the female of bovine and some other animals [n COWSKINE
COX,  to steer a racing rowboat also COXSWAIN [v -ED
COY,  modest bashful [adj COYER
COZ,  (archaic) cousin also CUZ [n COZZES]
CRU,  (French) a vineyard [n -S]
CRY,  to utter a sound of distress or to weep [v CRIEDCRYING
CUB,  to bring forth young [v CUBBEDCUBBING
CUD,  food brought back to be chewed again [n -S]
CUE,  to prompt an actor [v CUEDCUEING or CUING
CUM,  (vulgar) to ejaculate sperm [v CUMMEDCUMMING
CUP,  to put into a small open container [v CUPPED
CUR,  a worthless mongrel dog also KURRE [n -S]
CUT,  to make an incision in; to reduce [v CUTCUTTING
CUZ,  (obsolete) cousin also COZ [n CUZES or CUZZES]
CWM,  (Welsh) a deep basin on a mountain also CIRQUE
DAB,  to touch lightly [v DABBED DABBING
DAD,  to dash against [v DADDED DADDING
DAE,  (Scots) to do [v DONE DID
DAG,  to remove clotted tufts of wool from a sheep [v DAGGEDDAGGING
DAH,  a dash in morse code [n -S]
DAK,  (Hindi) the mail-post in India also DAWK [n -S]
DAL,  (Hindi) a kind of Indian edible pea also DAAL
DAM,  to build an embankment to retain water [v DAMMEDDAMMING
DAN,  (Japanese) a level of efficiency in Japanese combative sports [n -S]
DAP,  to dip in water [v DAPPED DAPPING
DAS,  DA(Burmese) a heavy Burmese knife
DAW,  to dawn [v DAWED DAWEN
DAY,  the time between sunrise and sunset [n -S]
DEB,  (short for) debutante [n -S]
DEE,  to damn [v DEED DEEING
DEF,  excellent [adj DEFFER DEFFEST
DEG,  (dialect) to water (e.g. a plant) [v DEGGED DEGGING
DEI,  DEUS(Latin) god [n]
DEL,  an operator in differential calculus [n -S]
DEN,  to live in a lair [v DENNEDDENNING
DEP,  a convenience store [n -S]
DEV,  (Sanskrit) a Hindu god also DEVA [n -S]
DEW,  to wet with condensed moisture also DEAW [v -ED
DEX,  a pill containing Dexedrinea sulfate used as a stimulant
DEY,  formerly the pasha of Algiers [n -S]
DIB,  to fish by floating the bait [v DIBBEDDIBBING
DID,  DOto perform [v]
DIE,  to cut with a material shaping device [v DIEDDIEING
DIF,  (colloquial) difference also DIFF [n -S]
DIG,  to make a hole excavate [v DUG or DIGGED
DIM,  to reduce the light of [v DIMMEDDIMMING
DIN,  to make a loud noise [v DINNEDDINNING
DIP,  to immerse briefly in a liquid [v DIPPEDDIPT
DIS,  to disparage also DISS [v DISSED
DIT,  (Scots) to block [v DITTEDDITTIT
DIV,  in Persian legendan evil spirit
DOB,  (Australian slang) to inform on or betray [v DOBBEDDOBBING
DOC,  (short for) doctor [n -S]
DOD,  (Scots) to knock thump
DOE,  the female of a deerrabbit and some other animals [n -S]
DOF,  (South African) stupid [adj]
DOG,  to follow closely behind [v DOGGEDDOGGING
DOH,  a musical note [n -S]
